variant,variant_order,candidate_facility_count,fixed_facility_count,forbidden_facility_count,candidate_facility_fraction,fixed_facilities,forbidden_facilities,objective_value,model_build_seconds,solve_seconds,total_variant_seconds,open_facilities_count,open_facilities,status,error_message,instance,instance_id,n,p,best_known_cost,exact_original_status,exact_original_objective,exact_original_model_build_seconds,exact_original_solve_seconds,exact_original_total_seconds,exact_original_open_facilities,exact_original_gap_to_best_known_percent,metaheuristic_best_cost,metaheuristic_runtime_seconds,metaheuristic_gap_to_best_known_percent,metaheuristic_gap_to_exact_percent,metaheuristic_best_facilities,metaheuristic_exact_overlap_count,metaheuristic_exact_overlap_fraction,structure_extraction_runtime_seconds,pre_reoptimization_seconds,memory_size,top_solution_count,top_cost_cutoff,cooccurrence_edges,cooccurrence_total_weight,max_p_cut_fraction_cut,max_p_cut_best_facility_separation,k_core_max_level,k_core_candidate_count,k_core_candidate_fraction,k_core_best_set_recall,densest_subgraph_candidate_count,densest_subgraph_candidate_fraction,densest_subgraph_density,densest_subgraph_best_set_recall,k_core_densest_union_candidate_count,k_core_densest_union_candidate_fraction,k_core_densest_union_best_set_recall,removed_facility_zero_based,removed_facility_position,remaining_optimal_facilities,remaining_optimal_facilities_count,max_p_cut_removed_group_found,max_p_cut_removed_group_size,max_p_cut_replacement_pool_size,overlap_with_original_optimum_count,overlap_with_original_optimum_fraction,dropped_optimal_facilities_count,new_facilities_count,dropped_optimal_facilities,new_facilities,degradation_vs_exact_percent,total_pipeline_seconds,baseline_status,baseline_objective_value,gap_to_forbidden_baseline_percent,baseline_is_optimal
baseline,1,99.0,4.0,1.0,0.99,12 64 90 98,6,5862.0,0.14422217000173987,0.8751132640027208,1.0193354340044607,5.0,12 34 64 90 98,OPTIMAL,,pmed1.txt,pmed1,100,5,5819.0,OPTIMAL,5819.0,0.5292993040020519,2.79906160000246,3.328360904004512,6 12 64 90 98,0.0,5819.0,0.053698039999289904,0.0,0.0,6 12 64 90 98,5.0,1.0,0.02586133699878701,3.407920281002589,129.0,13.0,5856.0,40.0,130.0,1.0,1.0,6.0,8.0,0.08,1.0,7.0,0.07,13.428571428571429,1.0,8.0,0.08,1.0,6.0,0.0,12 64 90 98,4.0,1.0,23.0,22.0,4.0,0.8,1.0,1.0,6,34,0.7389585839491322,4.42725571500705,OPTIMAL,5862.0,0.0,True
max_p_cut,2,26.0,4.0,1.0,0.26,12 64 90 98,6,5979.0,0.035908990997995716,0.33938222699725884,0.37529121799525456,5.0,12 18 64 90 98,OPTIMAL,,pmed1.txt,pmed1,100,5,5819.0,OPTIMAL,5819.0,0.5292993040020519,2.79906160000246,3.328360904004512,6 12 64 90 98,0.0,5819.0,0.053698039999289904,0.0,0.0,6 12 64 90 98,5.0,1.0,0.02586133699878701,3.407920281002589,129.0,13.0,5856.0,40.0,130.0,1.0,1.0,6.0,8.0,0.08,1.0,7.0,0.07,13.428571428571429,1.0,8.0,0.08,1.0,6.0,0.0,12 64 90 98,4.0,1.0,23.0,22.0,4.0,0.8,1.0,1.0,6,18,2.749613335624678,3.7832114989978436,OPTIMAL,5862.0,1.9959058341862845,True
highest_k_core,3,7.0,4.0,1.0,0.07,12 64 90 98,6,6693.0,0.011396007001167163,0.04713580400130013,0.05853181100246729,5.0,12 24 64 90 98,OPTIMAL,,pmed1.txt,pmed1,100,5,5819.0,OPTIMAL,5819.0,0.5292993040020519,2.79906160000246,3.328360904004512,6 12 64 90 98,0.0,5819.0,0.053698039999289904,0.0,0.0,6 12 64 90 98,5.0,1.0,0.02586133699878701,3.407920281002589,129.0,13.0,5856.0,40.0,130.0,1.0,1.0,6.0,8.0,0.08,1.0,7.0,0.07,13.428571428571429,1.0,8.0,0.08,1.0,6.0,0.0,12 64 90 98,4.0,1.0,23.0,22.0,4.0,0.8,1.0,1.0,6,24,15.019762845849803,3.4664520920050563,OPTIMAL,5862.0,14.176049129989764,True
densest_subgraph,4,6.0,4.0,1.0,0.06,12 64 90 98,6,6693.0,0.007891432996984804,0.03460356800133013,0.042495000998314936,5.0,12 24 64 90 98,OPTIMAL,,pmed1.txt,pmed1,100,5,5819.0,OPTIMAL,5819.0,0.5292993040020519,2.79906160000246,3.328360904004512,6 12 64 90 98,0.0,5819.0,0.053698039999289904,0.0,0.0,6 12 64 90 98,5.0,1.0,0.02586133699878701,3.407920281002589,129.0,13.0,5856.0,40.0,130.0,1.0,1.0,6.0,8.0,0.08,1.0,7.0,0.07,13.428571428571429,1.0,8.0,0.08,1.0,6.0,0.0,12 64 90 98,4.0,1.0,23.0,22.0,4.0,0.8,1.0,1.0,6,24,15.019762845849803,3.450415282000904,OPTIMAL,5862.0,14.176049129989764,True
k_core_densest_union,5,7.0,4.0,1.0,0.07,12 64 90 98,6,6693.0,0.009460707999096485,0.05371965400263434,0.06318036200173083,5.0,12 24 64 90 98,OPTIMAL,,pmed1.txt,pmed1,100,5,5819.0,OPTIMAL,5819.0,0.5292993040020519,2.79906160000246,3.328360904004512,6 12 64 90 98,0.0,5819.0,0.053698039999289904,0.0,0.0,6 12 64 90 98,5.0,1.0,0.02586133699878701,3.407920281002589,129.0,13.0,5856.0,40.0,130.0,1.0,1.0,6.0,8.0,0.08,1.0,7.0,0.07,13.428571428571429,1.0,8.0,0.08,1.0,6.0,0.0,12 64 90 98,4.0,1.0,23.0,22.0,4.0,0.8,1.0,1.0,6,24,15.019762845849803,3.47110064300432,OPTIMAL,5862.0,14.176049129989764,True
baseline,1,199.0,66.0,1.0,0.995,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,2,1272.0,0.31894140799704473,1.4544916890008608,1.7734330969979055,67.0,3 11 14 16 18 23 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,OPTIMAL,,pmed10.txt,pmed10,200,67,1255.0,OPTIMAL,1255.0,0.324577578001481,9.632289466997463,9.956867044998944,2 3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,0.0,1255.0,1.8609250589979638,0.0,0.0,2 11 14 16 18 23 30 34 38 40 41 42 46 47 49 54 57 58 63 64 65 67 68 69 71 74 79 80 84 96 103 107 109 111 113 118 120 121 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 174 175 179 182 190 192 195 198 199,59.0,0.8805970149253731,0.04526836199875106,11.863060465995659,169.0,17.0,1255.0,3018.0,37587.0,1.0,0.9986431478968792,68.0,75.0,0.375,0.9104477611940298,67.0,0.335,523.0597014925373,0.8507462686567164,75.0,0.375,0.9104477611940298,2.0,0.0,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,66.0,1.0,3.0,2.0,66.0,0.9850746268656716,1.0,1.0,2,23,1.3545816733067728,13.636493562993564,OPTIMAL,1272.0,0.0,True
max_p_cut,2,68.0,66.0,1.0,0.34,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,2,1282.0,0.10868430999835255,0.10559718100194004,0.2142814910002926,67.0,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 77 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,OPTIMAL,,pmed10.txt,pmed10,200,67,1255.0,OPTIMAL,1255.0,0.324577578001481,9.632289466997463,9.956867044998944,2 3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,0.0,1255.0,1.8609250589979638,0.0,0.0,2 11 14 16 18 23 30 34 38 40 41 42 46 47 49 54 57 58 63 64 65 67 68 69 71 74 79 80 84 96 103 107 109 111 113 118 120 121 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 174 175 179 182 190 192 195 198 199,59.0,0.8805970149253731,0.04526836199875106,11.863060465995659,169.0,17.0,1255.0,3018.0,37587.0,1.0,0.9986431478968792,68.0,75.0,0.375,0.9104477611940298,67.0,0.335,523.0597014925373,0.8507462686567164,75.0,0.375,0.9104477611940298,2.0,0.0,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,66.0,1.0,3.0,2.0,66.0,0.9850746268656716,1.0,1.0,2,77,2.151394422310757,12.077341956995951,OPTIMAL,1272.0,0.7861635220125787,True
highest_k_core,3,80.0,66.0,1.0,0.4,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,2,1272.0,0.12843173300279886,0.35125235200030147,0.47968408500310034,67.0,3 11 14 16 18 23 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,OPTIMAL,,pmed10.txt,pmed10,200,67,1255.0,OPTIMAL,1255.0,0.324577578001481,9.632289466997463,9.956867044998944,2 3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,0.0,1255.0,1.8609250589979638,0.0,0.0,2 11 14 16 18 23 30 34 38 40 41 42 46 47 49 54 57 58 63 64 65 67 68 69 71 74 79 80 84 96 103 107 109 111 113 118 120 121 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 174 175 179 182 190 192 195 198 199,59.0,0.8805970149253731,0.04526836199875106,11.863060465995659,169.0,17.0,1255.0,3018.0,37587.0,1.0,0.9986431478968792,68.0,75.0,0.375,0.9104477611940298,67.0,0.335,523.0597014925373,0.8507462686567164,75.0,0.375,0.9104477611940298,2.0,0.0,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,66.0,1.0,3.0,2.0,66.0,0.9850746268656716,1.0,1.0,2,23,1.3545816733067728,12.34274455099876,OPTIMAL,1272.0,0.0,True
densest_subgraph,4,75.0,66.0,1.0,0.375,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,2,1281.0,0.12118079200081411,0.23047454799961997,0.3516553400004341,67.0,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 142 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,OPTIMAL,,pmed10.txt,pmed10,200,67,1255.0,OPTIMAL,1255.0,0.324577578001481,9.632289466997463,9.956867044998944,2 3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,0.0,1255.0,1.8609250589979638,0.0,0.0,2 11 14 16 18 23 30 34 38 40 41 42 46 47 49 54 57 58 63 64 65 67 68 69 71 74 79 80 84 96 103 107 109 111 113 118 120 121 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 174 175 179 182 190 192 195 198 199,59.0,0.8805970149253731,0.04526836199875106,11.863060465995659,169.0,17.0,1255.0,3018.0,37587.0,1.0,0.9986431478968792,68.0,75.0,0.375,0.9104477611940298,67.0,0.335,523.0597014925373,0.8507462686567164,75.0,0.375,0.9104477611940298,2.0,0.0,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,66.0,1.0,3.0,2.0,66.0,0.9850746268656716,1.0,1.0,2,142,2.0717131474103585,12.214715805996093,OPTIMAL,1272.0,0.7075471698113207,True
k_core_densest_union,5,80.0,66.0,1.0,0.4,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,2,1272.0,0.1293536369994399,0.347982081999362,0.4773357189988019,67.0,3 11 14 16 18 23 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,OPTIMAL,,pmed10.txt,pmed10,200,67,1255.0,OPTIMAL,1255.0,0.324577578001481,9.632289466997463,9.956867044998944,2 3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,0.0,1255.0,1.8609250589979638,0.0,0.0,2 11 14 16 18 23 30 34 38 40 41 42 46 47 49 54 57 58 63 64 65 67 68 69 71 74 79 80 84 96 103 107 109 111 113 118 120 121 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 174 175 179 182 190 192 195 198 199,59.0,0.8805970149253731,0.04526836199875106,11.863060465995659,169.0,17.0,1255.0,3018.0,37587.0,1.0,0.9986431478968792,68.0,75.0,0.375,0.9104477611940298,67.0,0.335,523.0597014925373,0.8507462686567164,75.0,0.375,0.9104477611940298,2.0,0.0,3 11 14 16 18 30 34 38 40 41 42 43 46 47 48 49 50 54 57 58 63 64 65 67 68 71 74 79 80 81 84 96 97 103 105 107 111 113 118 122 123 127 128 130 132 134 136 140 143 144 145 147 150 151 155 157 165 167 171 179 182 186 190 192 198 199,66.0,1.0,3.0,2.0,66.0,0.9850746268656716,1.0,1.0,2,23,1.3545816733067728,12.34039618499446,OPTIMAL,1272.0,0.0,True
