variant,variant_order,candidate_facility_count,fixed_facility_count,forbidden_facility_count,candidate_facility_fraction,fixed_facilities,forbidden_facilities,model_build_seconds,objective_value,solve_seconds,total_variant_seconds,evaluated_replacements,open_facilities_count,open_facilities,status,error_message,instance_group,instance,reoptimization_instance,instance_id,n,p,edge_weight_type,raw_path,reference_source,reference_cost,reference_facilities,metaheuristic_runtime_seconds,structure_extraction_runtime_seconds,pre_reoptimization_seconds,removed_facility,removed_facility_zero_based,removal_position,remaining_reference_facilities,remaining_reference_facilities_count,source_ltm_size,top_fraction,top_solution_count,top_cost_cutoff,full_ltm_cost_min,full_ltm_cost_max,top_ltm_cost_min,top_ltm_cost_max,replacement_pool_strategy,replacement_pool_reference_variant,replacement_pool_target_size,replacement_pool_available_candidate_count,replacement_pool_shortfall,replacement_pool_excluded_best_facilities,memory_strategy,overlap_with_reference_count,overlap_with_reference_fraction,dropped_reference_facilities_count,new_facilities_count,dropped_reference_facilities,new_facilities,total_pipeline_seconds,analysis_memory_size,analysis_memory_min_cost,analysis_memory_max_cost,analysis_solution_count,analysis_swap_edges,analysis_component_count,analysis_largest_component_size,analysis_smallest_component_size,analysis_is_connected,cooccurrence_active_nodes,cooccurrence_edges,cooccurrence_total_weight,max_k_cut_ignored_nodes,max_k_cut_fraction_cut,max_k_cut_best_facility_separation,pre_connection_component_count,pre_connection_solution_count,post_connection_solution_count,post_connection_component_count,trajectory_added_solution_count,trajectory_movement_count,trajectory_generated_out_of_range_count,trajectory_connection_edge_count,guard_fallback_used,best_component_solution_count,best_component_selection_reason,max_k_cut_removed_group_found,max_k_cut_removed_group_size,max_k_cut_replacement_pool_size,max_k_cut_removed_group,max_k_cut_replacement_pool,max_k_cut_groups_formatted,baseline_status,baseline_objective_value,baseline_total_variant_seconds,baseline_total_pipeline_seconds,gap_to_baseline_percent,time_delta_to_baseline_seconds,baseline_is_optimal
max_k_cut_original,2,0,4,1,0.0,16 50 87 102,78,0.0,,3.646400000434369e-05,3.646400000434369e-05,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,WORK,lin105,lin105__remove_pos_2__facility_79,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.18134862900024018,0.10244104399953358,0.28378967299977376,79,78,2,16 50 87 102,4,391,0.05,20,32547.0,32395.0,33440.0,32395.0,32547.0,max_k_cut_group,max_k_cut_original,0.0,0.0,0.0,,top_ltm_original,0,0.0,5,0,16 50 78 87 102,,0.2838261369997781,20.0,32395.0,32547.0,20.0,34.0,2.0,11.0,9.0,False,16.0,64.0,200.0,89.0,1.0,1.0,,,20.0,2.0,0.0,0.0,0.0,,False,,,1.0,1.0,0.0,78,,12 13 16 17 24 25 33 34 | 46 50 | 86 87 | 78 | 14 19 102,OPTIMAL,32576.0,0.007076610000694927,0.2908662830004687,,-0.007040146000690584,True
max_k_cut_mst_trajectory,3,0,4,1,0.0,16 50 87 102,78,0.0,,7.83400082582375e-06,7.83400082582375e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,WORK,lin105,lin105__remove_pos_2__facility_79,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.18134862900024018,0.10244104399953358,0.28378967299977376,79,78,2,16 50 87 102,4,391,0.05,20,32547.0,32395.0,33440.0,32395.0,32547.0,max_k_cut_group,max_k_cut_mst_trajectory,0.0,0.0,0.0,,top_ltm_mst_trajectory,0,0.0,5,0,16 50 78 87 102,,0.2837975070005996,21.0,32395.0,32712.0,21.0,39.0,1.0,21.0,21.0,True,16.0,65.0,210.0,89.0,1.0,1.0,2.0,20.0,21.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,1.0,0.0,78,,12 13 16 17 24 25 33 34 | 46 50 | 86 87 | 78 | 14 19 102,OPTIMAL,32576.0,0.007076610000694927,0.2908662830004687,,-0.0070687759998691035,True
max_k_cut_pairwise_trajectory,4,0,4,1,0.0,16 50 87 102,78,0.0,,5.382999916037079e-06,5.382999916037079e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,WORK,lin105,lin105__remove_pos_2__facility_79,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.18134862900024018,0.10244104399953358,0.28378967299977376,79,78,2,16 50 87 102,4,391,0.05,20,32547.0,32395.0,33440.0,32395.0,32547.0,max_k_cut_group,max_k_cut_pairwise_trajectory,0.0,0.0,0.0,,top_ltm_pairwise_trajectory,0,0.0,5,0,16 50 78 87 102,,0.2837950559996898,21.0,32395.0,32712.0,21.0,39.0,1.0,21.0,21.0,True,16.0,65.0,210.0,89.0,1.0,1.0,2.0,20.0,21.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,1.0,0.0,78,,12 13 16 17 24 25 33 34 | 46 50 | 86 87 | 78 | 14 19 102,OPTIMAL,32576.0,0.007076610000694927,0.2908662830004687,,-0.00707122700077889,True
max_k_cut_mst_range_guard,5,0,4,1,0.0,16 50 87 102,78,0.0,,4.370999704406131e-06,4.370999704406131e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,WORK,lin105,lin105__remove_pos_2__facility_79,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.18134862900024018,0.10244104399953358,0.28378967299977376,79,78,2,16 50 87 102,4,391,0.05,20,32547.0,32395.0,33440.0,32395.0,32547.0,max_k_cut_group,max_k_cut_mst_range_guard,0.0,0.0,0.0,,top_ltm_mst_trajectory_range_guard,0,0.0,5,0,16 50 78 87 102,,0.28379404399947816,21.0,32395.0,32712.0,21.0,39.0,1.0,21.0,21.0,True,16.0,65.0,210.0,89.0,1.0,1.0,2.0,20.0,21.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,1.0,0.0,78,,12 13 16 17 24 25 33 34 | 46 50 | 86 87 | 78 | 14 19 102,OPTIMAL,32576.0,0.007076610000694927,0.2908662830004687,,-0.007072239000990521,True
max_k_cut_pairwise_range_guard,6,0,4,1,0.0,16 50 87 102,78,0.0,,4.512000487011392e-06,4.512000487011392e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,WORK,lin105,lin105__remove_pos_2__facility_79,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.18134862900024018,0.10244104399953358,0.28378967299977376,79,78,2,16 50 87 102,4,391,0.05,20,32547.0,32395.0,33440.0,32395.0,32547.0,max_k_cut_group,max_k_cut_pairwise_range_guard,0.0,0.0,0.0,,top_ltm_pairwise_trajectory_range_guard,0,0.0,5,0,16 50 78 87 102,,0.28379418500026077,21.0,32395.0,32712.0,21.0,39.0,1.0,21.0,21.0,True,16.0,65.0,210.0,89.0,1.0,1.0,2.0,20.0,21.0,1.0,1.0,2.0,0.0,1.0,False,,,1.0,1.0,0.0,78,,12 13 16 17 24 25 33 34 | 46 50 | 86 87 | 78 | 14 19 102,OPTIMAL,32576.0,0.007076610000694927,0.2908662830004687,,-0.007072098000207916,True
random_original_pool_size,7,0,4,1,0.0,16 50 87 102,78,0.0,,6.931999450898729e-06,6.931999450898729e-06,0,0,,INFEASIBLE_POOL,Candidate replacement pool smaller than missing count: 0 < 1.,WORK,lin105,lin105__remove_pos_2__facility_79,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.18134862900024018,0.10244104399953358,0.28378967299977376,79,78,2,16 50 87 102,4,391,0.05,20,32547.0,32395.0,33440.0,32395.0,32547.0,random_original_pool_size,max_k_cut_original,0.0,100.0,0.0,16 50 78 87 102,top_ltm_original,0,0.0,5,0,16 50 78 87 102,,0.28379660499922466,20.0,32395.0,32547.0,20.0,34.0,2.0,11.0,9.0,False,16.0,64.0,200.0,89.0,1.0,1.0,,,20.0,2.0,0.0,0.0,0.0,,False,,,1.0,1.0,0.0,78,,12 13 16 17 24 25 33 34 | 46 50 | 86 87 | 78 | 14 19 102,OPTIMAL,32576.0,0.007076610000694927,0.2908662830004687,,-0.0070696780012440286,True
nearest_original_pool_size,8,0,4,1,0.0,16 50 87 102,78,0.0,,1.2102999789931346e-05,1.2102999789931346e-05,0,0,,INFEASIBLE_POOL,Candidate replacement pool smaller than missing count: 0 < 1.,WORK,lin105,lin105__remove_pos_2__facility_79,tsplib_lin105_p5,105,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/lin105.tsp,metaheuristic_best_solution,32395.0,16 50 78 87 102,0.18134862900024018,0.10244104399953358,0.28378967299977376,79,78,2,16 50 87 102,4,391,0.05,20,32547.0,32395.0,33440.0,32395.0,32547.0,nearest_original_pool_size,max_k_cut_original,0.0,100.0,0.0,16 50 78 87 102,top_ltm_original,0,0.0,5,0,16 50 78 87 102,,0.2838017759995637,20.0,32395.0,32547.0,20.0,34.0,2.0,11.0,9.0,False,16.0,64.0,200.0,89.0,1.0,1.0,,,20.0,2.0,0.0,0.0,0.0,,False,,,1.0,1.0,0.0,78,,12 13 16 17 24 25 33 34 | 46 50 | 86 87 | 78 | 14 19 102,OPTIMAL,32576.0,0.007076610000694927,0.2908662830004687,,-0.007064507000904996,True
max_k_cut_original,2,0,4,1,0.0,20 30 55 89,6,0.0,,5.421500009106239e-05,5.421500009106239e-05,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,WORK,rd100,rd100__remove_pos_0__facility_7,tsplib_rd100_p5,100,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/rd100.tsp,metaheuristic_best_solution,16404.0,6 20 30 55 89,0.09685798400005297,0.0626142789997175,0.15947226299977046,7,6,0,20 30 55 89,4,308,0.05,16,16441.0,16404.0,16681.0,16404.0,16441.0,max_k_cut_group,max_k_cut_original,0.0,0.0,0.0,,top_ltm_original,0,0.0,5,0,6 20 30 55 89,,0.15952647799986153,16.0,16404.0,16441.0,16.0,28.0,2.0,15.0,1.0,False,14.0,50.0,160.0,86.0,1.0,1.0,,,16.0,2.0,0.0,0.0,0.0,,False,,,1.0,1.0,0.0,6,,6 | 45 49 55 64 | 15 30 | 20 74 81 85 | 26 50 89,OPTIMAL,16453.0,0.008315699000377208,0.16778796200014767,,-0.008261484000286146,True
max_k_cut_mst_trajectory,3,0,4,1,0.0,20 30 55 89,6,0.0,,8.48299987410428e-06,8.48299987410428e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,WORK,rd100,rd100__remove_pos_0__facility_7,tsplib_rd100_p5,100,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/rd100.tsp,metaheuristic_best_solution,16404.0,6 20 30 55 89,0.09685798400005297,0.0626142789997175,0.15947226299977046,7,6,0,20 30 55 89,4,308,0.05,16,16441.0,16404.0,16681.0,16404.0,16441.0,max_k_cut_group,max_k_cut_mst_trajectory,0.0,0.0,0.0,,top_ltm_mst_trajectory,0,0.0,5,0,6 20 30 55 89,,0.15948074599964457,18.0,16404.0,16565.0,18.0,31.0,1.0,18.0,18.0,True,14.0,53.0,180.0,86.0,1.0,1.0,2.0,16.0,18.0,1.0,2.0,3.0,0.0,1.0,False,,,1.0,1.0,0.0,6,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,OPTIMAL,16453.0,0.008315699000377208,0.16778796200014767,,-0.008307216000503104,True
max_k_cut_pairwise_trajectory,4,0,4,1,0.0,20 30 55 89,6,0.0,,7.35100002202671e-06,7.35100002202671e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,WORK,rd100,rd100__remove_pos_0__facility_7,tsplib_rd100_p5,100,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/rd100.tsp,metaheuristic_best_solution,16404.0,6 20 30 55 89,0.09685798400005297,0.0626142789997175,0.15947226299977046,7,6,0,20 30 55 89,4,308,0.05,16,16441.0,16404.0,16681.0,16404.0,16441.0,max_k_cut_group,max_k_cut_pairwise_trajectory,0.0,0.0,0.0,,top_ltm_pairwise_trajectory,0,0.0,5,0,6 20 30 55 89,,0.1594796139997925,18.0,16404.0,16565.0,18.0,31.0,1.0,18.0,18.0,True,14.0,53.0,180.0,86.0,1.0,1.0,2.0,16.0,18.0,1.0,2.0,3.0,0.0,1.0,False,,,1.0,1.0,0.0,6,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,OPTIMAL,16453.0,0.008315699000377208,0.16778796200014767,,-0.008308348000355181,True
max_k_cut_mst_range_guard,5,0,4,1,0.0,20 30 55 89,6,0.0,,7.685000127821695e-06,7.685000127821695e-06,0,0,,INFEASIBLE_POOL,The max-k-cut group that contains the removed facility has no replacement candidate after forbidding the removed facility.,WORK,rd100,rd100__remove_pos_0__facility_7,tsplib_rd100_p5,100,5,EUC_2D,/home/rei-luisinho/xopt/notebooks/experiments_sbpo/artifacts/tsplib_tsp/rd100.tsp,metaheuristic_best_solution,16404.0,6 20 30 55 89,0.09685798400005297,0.0626142789997175,0.15947226299977046,7,6,0,20 30 55 89,4,308,0.05,16,16441.0,16404.0,16681.0,16404.0,16441.0,max_k_cut_group,max_k_cut_mst_range_guard,0.0,0.0,0.0,,top_ltm_mst_trajectory_range_guard,0,0.0,5,0,6 20 30 55 89,,0.15947994799989829,18.0,16404.0,16565.0,18.0,31.0,1.0,18.0,18.0,True,14.0,53.0,180.0,86.0,1.0,1.0,2.0,16.0,18.0,1.0,2.0,3.0,0.0,1.0,False,,,1.0,1.0,0.0,6,,6 | 26 45 49 55 | 15 30 | 20 74 81 85 | 50 64 89,OPTIMAL,16453.0,0.008315699000377208,0.16778796200014767,,-0.008308014000249386,True
