instance_group,variant_order,variant,source_instances,reoptimization_instances,solved_reoptimization_instances,optimal_reoptimization_instances,mean_gap_to_baseline_percent,median_gap_to_baseline_percent,max_gap_to_baseline_percent,mean_total_variant_seconds,mean_total_pipeline_seconds,mean_time_delta_to_baseline_seconds,mean_candidate_fraction,mean_replacement_pool_size,mean_replacement_pool_shortfall,mean_trajectory_added,mean_guard_fallback_rate
WORK,1,baseline_all_facilities,4,20,20,20,0.0,0.0,0.0,0.02539560475001963,4.373607361000086,0.0,0.9671675377468061,,,,
WORK,2,max_k_cut_original,4,20,18,18,0.02623120771720041,0.0,0.4721617389096074,0.0005727164001200436,4.348784472650186,-0.024822888349899586,0.015915795586527295,3.05,0.0,0.0,0.0
WORK,3,max_k_cut_mst_trajectory,4,20,18,18,0.02623120771720041,0.0,0.4721617389096074,0.0005279459499888617,4.348739702200055,-0.024867658800030768,0.015915795586527295,3.05,0.0,1.75,0.0
WORK,4,max_k_cut_pairwise_trajectory,4,20,18,18,0.02623120771720041,0.0,0.4721617389096074,0.0005014039499656065,4.348713160200032,-0.02489420080005402,0.015915795586527295,3.05,0.0,1.75,0.0
WORK,5,max_k_cut_mst_range_guard,4,20,18,18,0.02623120771720041,0.0,0.4721617389096074,0.0005127374999119638,4.3487244937499785,-0.024882867250107667,0.015915795586527295,3.05,0.0,1.75,0.0
WORK,6,max_k_cut_pairwise_range_guard,4,20,18,18,0.02623120771720041,0.0,0.4721617389096074,0.000540462649996698,4.348752218900063,-0.02485514210002293,0.015915795586527295,3.05,0.0,1.75,0.0
WORK,7,random_original_pool_size,4,20,18,18,9.746062253186508,8.383115367856513,34.24148416623153,0.0005316030998528731,4.348743359349919,-0.024864001650166757,0.015915795586527295,3.05,0.0,0.0,0.0
WORK,8,nearest_original_pool_size,4,20,18,18,0.10913831139816525,0.0,1.510813280536095,0.0004455507499187661,4.348657306999985,-0.024950054000100863,0.015915795586527295,3.05,0.0,0.0,0.0
NOT WORK,1,baseline_all_facilities,4,20,20,20,0.0,0.0,0.0,0.014132751950000966,0.5983534829501878,0.0,0.9690250739827885,,,,
NOT WORK,2,max_k_cut_original,4,20,17,17,0.32379803170059296,0.0,3.9916315463512637,0.0005226753000442841,0.584743406300231,-0.013610076649956681,0.01845523874445819,3.2,0.0,0.0,0.0
NOT WORK,3,max_k_cut_mst_trajectory,4,20,17,17,0.7730338294969715,0.0,12.811991762460789,0.0005489502000727952,0.5847696812002596,-0.013583801749928171,0.01845523874445819,3.2,0.0,4.25,0.0
NOT WORK,4,max_k_cut_pairwise_trajectory,4,20,17,17,0.7730338294969715,0.0,12.811991762460789,0.000513089600008243,0.5847338206001951,-0.013619662349992723,0.01845523874445819,3.2,0.0,18.25,0.0
NOT WORK,5,max_k_cut_mst_range_guard,4,20,16,16,0.020598958686732984,0.0,0.27186328126767,0.0003437278500314278,0.5845644588502182,-0.013789024099969538,0.011265540537060866,1.75,0.0,1.5,0.5
NOT WORK,6,max_k_cut_pairwise_range_guard,4,20,14,14,0.10806678518277264,0.0,1.4552149348387593,0.00027249204995314356,0.58449322305014,-0.013860259900047823,0.008692011125296158,1.4,0.0,0.5,0.75
NOT WORK,7,random_original_pool_size,4,20,17,17,14.417455620703047,7.896933607880238,67.42420809353332,0.0004902892500012968,0.5847110202501881,-0.013642462699999669,0.01845523874445819,3.2,0.0,0.0,0.0
NOT WORK,8,nearest_original_pool_size,4,20,17,17,0.29248549744970886,0.0,2.638971960922915,0.00039663304992245687,0.5846173640501092,-0.013736118900078509,0.01845523874445819,3.2,0.0,0.0,0.0
NOT NECESSARY,1,baseline_all_facilities,4,20,20,20,0.0,0.0,0.0,0.0692260194001392,7.945282173650048,0.0,0.9648079749607664,,,,
NOT NECESSARY,2,max_k_cut_original,4,20,16,16,0.0,0.0,0.0,0.0008398302000387047,7.8768959844499475,-0.06838618920010049,0.013814135221230647,3.15,0.0,0.0,0.0
NOT NECESSARY,3,max_k_cut_mst_trajectory,4,20,16,16,0.0,0.0,0.0,0.000806973650060172,7.876863127899969,-0.06841904575007902,0.013814135221230647,3.15,0.0,0.25,0.0
NOT NECESSARY,4,max_k_cut_pairwise_trajectory,4,20,16,16,0.0,0.0,0.0,0.0007725066000148217,7.876828660849924,-0.06845351280012438,0.013814135221230647,3.15,0.0,0.25,0.0
NOT NECESSARY,5,max_k_cut_mst_range_guard,4,20,16,16,0.0,0.0,0.0,0.0007331801999498566,7.8767893344498585,-0.06849283920018934,0.013814135221230647,3.15,0.0,0.25,0.0
NOT NECESSARY,6,max_k_cut_pairwise_range_guard,4,20,16,16,0.0,0.0,0.0,0.0008089802499853249,7.876865134499894,-0.06841703915015387,0.013814135221230647,3.15,0.0,0.25,0.0
NOT NECESSARY,7,random_original_pool_size,4,20,16,16,8.223114213119658,5.157157270383207,31.57224073711037,0.0008542702000340797,7.876910424449943,-0.06837174920010511,0.013814135221230647,3.15,0.0,0.0,0.0
NOT NECESSARY,8,nearest_original_pool_size,4,20,16,16,0.034598655595096874,0.0,0.55357848952155,0.0006972463999773027,7.8767534006498865,-0.06852877300016189,0.013814135221230647,3.15,0.0,0.0,0.0
