instance,n,m,p,best_known_value,kmedoids_method,kmedoids_init,kmedoids_random_state,kmedoids_n_iter,kmedoids_objective_value,kmedoids_gap_to_best_known_percent,kmedoids_solve_seconds,kmedoids_open_facilities_count,kmedoids_open_facilities,error
pmed1.txt,100,200,5,5819,pam,k-medoids++,0,5,5819,0.0,0.0066,5,7 13 65 91 99,
pmed2.txt,100,200,10,4093,pam,k-medoids++,0,8,4093,0.0,0.0066,10,6 8 12 37 41 45 67 91 95 99,
pmed3.txt,100,200,10,4250,pam,k-medoids++,0,9,4250,0.0,0.0073,10,5 9 13 21 26 36 48 55 69 99,
pmed4.txt,100,200,20,3034,pam,k-medoids++,0,9,3073,1.2854,0.007,20,5 7 13 22 26 34 35 38 48 55 61 66 71 77 83 85 87 91 93 100,
pmed5.txt,100,200,33,1355,pam,k-medoids++,0,9,1401,3.3948,0.0086,33,4 8 9 12 13 19 25 26 29 30 33 37 38 41 44 46 48 49 52 53 54 59 66 68 70 75 82 85 88 91 94 95 100,
pmed6.txt,200,800,5,7824,pam,k-medoids++,0,5,7824,0.0,0.0087,5,16 86 101 111 126,
pmed7.txt,200,800,10,5631,pam,k-medoids++,0,9,5631,0.0,0.0181,10,3 10 72 87 131 142 181 186 191 199,
pmed8.txt,200,800,20,4445,pam,k-medoids++,0,9,4627,4.0945,0.0262,20,42 51 66 71 83 84 94 96 100 118 121 127 130 133 136 148 167 185 193 199,
pmed9.txt,200,800,40,2734,pam,k-medoids++,0,9,2861,4.6452,0.0349,40,1 3 11 14 21 25 29 31 39 42 48 51 52 54 55 58 61 65 67 70 72 79 89 90 95 98 100 101 109 118 119 124 125 143 148 160 166 181 182 200,
pmed10.txt,200,800,67,1255,pam,k-medoids++,0,9,1289,2.7092,0.0383,67,3 5 15 17 19 30 31 32 35 39 41 42 43 44 50 55 61 64 68 69 70 72 75 76 77 80 81 85 93 97 102 104 107 110 112 114 119 123 125 128 131 133 135 137 141 144 145 147 148 151 152 156 158 162 166 169 172 175 176 180 183 187 191 193 196 198 200,
pmed11.txt,300,1800,5,7696,pam,k-medoids++,0,4,7696,0.0,0.014,5,24 31 98 167 201,
pmed12.txt,300,1800,10,6634,pam,k-medoids++,0,9,6649,0.2261,0.042,10,3 6 44 51 84 139 172 174 217 294,
pmed13.txt,300,1800,30,4374,pam,k-medoids++,0,9,4664,6.6301,0.0756,30,13 17 22 40 41 55 74 76 77 79 87 93 100 109 132 141 147 151 173 176 179 191 208 232 246 249 258 262 271 299,
pmed14.txt,300,1800,60,2968,pam,k-medoids++,0,9,3245,9.3329,0.106,60,2 7 18 20 22 24 29 36 45 47 50 51 61 63 79 85 87 91 111 112 118 120 121 124 126 128 143 147 152 156 157 158 168 171 173 176 183 187 191 193 200 205 209 211 213 215 219 220 227 242 244 245 248 254 259 263 276 284 292 293,
pmed15.txt,300,1800,100,1729,pam,k-medoids++,0,9,1870,8.155,0.1162,100,7 10 12 15 17 20 24 29 30 32 36 37 38 40 43 45 46 49 52 57 59 66 73 75 76 78 79 80 82 84 92 94 95 99 104 105 107 112 116 122 126 127 130 131 133 138 139 140 141 143 145 150 157 158 161 166 168 172 174 177 185 189 192 194 195 196 199 204 205 209 212 214 218 220 221 224 228 231 236 241 243 244 249 251 252 253 254 258 259 261 265 267 268 269 272 287 292 294 296 297,
pmed16.txt,400,3200,5,8162,pam,k-medoids++,0,7,8162,0.0,0.0377,5,20 229 267 374 379,
pmed17.txt,400,3200,10,6999,pam,k-medoids++,0,9,7024,0.3572,0.0717,10,36 92 116 120 141 173 178 213 331 360,
pmed18.txt,400,3200,40,4809,pam,k-medoids++,0,9,5142,6.9245,0.1591,40,2 4 15 26 33 59 89 104 124 130 141 154 161 163 166 171 172 173 183 192 216 231 232 238 264 269 276 286 300 304 328 341 343 356 357 366 382 384 393 400,
pmed19.txt,400,3200,80,2845,pam,k-medoids++,0,9,3176,11.6344,0.2235,80,6 12 14 15 16 29 34 38 39 41 44 49 51 60 65 66 70 76 96 98 101 107 111 115 129 133 149 150 152 155 156 159 177 179 183 185 186 191 192 197 201 207 210 211 220 228 239 246 255 258 265 266 270 282 294 305 306 311 317 331 332 335 338 339 340 349 355 359 360 361 362 365 378 380 385 387 389 395 398 400,
pmed20.txt,400,3200,133,1789,pam,k-medoids++,0,9,1972,10.2292,0.2477,133,2 8 14 18 21 22 27 29 31 33 34 37 45 51 56 60 62 64 65 70 75 76 77 82 83 87 88 89 90 91 93 96 100 102 106 112 113 115 116 121 122 124 125 130 133 137 138 145 148 154 159 166 167 168 169 173 174 175 181 183 186 187 190 191 192 195 196 200 202 203 205 206 207 209 213 215 217 220 221 223 225 227 229 238 244 247 248 253 255 262 263 264 266 269 271 276 278 279 287 292 294 298 300 301 308 310 318 321 327 329 331 333 334 335 338 340 341 342 348 352 357 358 362 364 367 371 380 382 384 386 390 393 400,
pmed21.txt,500,5000,5,9138,pam,k-medoids++,0,5,9138,0.0,0.054,5,71 138 161 285 494,
pmed22.txt,500,5000,10,8579,pam,k-medoids++,0,9,8738,1.8534,0.1136,10,10 18 31 61 268 299 347 378 427 492,
pmed23.txt,500,5000,50,4619,pam,k-medoids++,0,9,5112,10.6733,0.2931,50,19 45 49 51 73 75 79 88 94 95 101 103 116 130 161 184 205 207 221 228 229 277 283 286 296 313 316 317 319 330 343 345 357 379 388 407 411 413 421 424 425 435 440 446 447 453 458 478 482 490,
