instance,n,m,p,best_known_value,objective_value,gap_to_best_known_percent,matches_best_known,preprocess_seconds,model_build_seconds,solve_seconds,mip_stage_seconds,total_seconds,open_facilities_count,open_facilities,status,error
pmed1.txt,100,200,5,5819,5819.0,0.0,True,0.0122,0.1605,1.1433,1.3037,1.3159,5,7 13 65 91 99,OPTIMAL,
pmed2.txt,100,200,10,4093,4093.0,0.0,True,0.0089,0.0919,1.8536,1.9455,1.9544,10,6 8 12 37 41 45 58 67 95 99,OPTIMAL,
pmed3.txt,100,200,10,4250,4250.0,0.0,True,0.0103,0.0915,1.865,1.9565,1.9667,10,5 9 13 21 26 36 48 55 69 99,OPTIMAL,
pmed4.txt,100,200,20,3034,3034.0,0.0,True,0.0127,0.0995,1.0306,1.1301,1.1429,20,1 5 8 9 13 22 26 34 38 50 55 60 66 72 77 83 87 91 93 96,OPTIMAL,
pmed5.txt,100,200,33,1355,1355.0,0.0,True,0.0094,0.0823,1.088,1.1704,1.1798,33,1 4 7 9 14 19 25 26 28 30 33 36 37 38 41 49 51 53 55 58 66 69 70 73 75 81 82 84 85 88 94 95 97,OPTIMAL,
pmed6.txt,200,800,5,7824,7824.0,0.0,True,0.0887,0.4,157.4519,157.8519,157.9406,5,16 86 101 111 126,OPTIMAL,
pmed7.txt,200,800,10,5631,5631.0,0.0,True,0.0622,0.3213,8.9024,9.2236,9.2859,10,3 10 72 87 116 131 142 181 186 191,OPTIMAL,
pmed8.txt,200,800,20,4445,4445.0,0.0,True,0.0616,0.3182,9.1346,9.4528,9.5144,20,42 66 70 76 83 96 104 114 117 119 127 130 133 139 146 154 167 180 194 199,OPTIMAL,
pmed9.txt,200,800,40,2734,2734.0,0.0,True,0.0609,0.3167,8.8001,9.1168,9.1776,40,1 3 12 19 25 29 31 40 46 47 50 54 55 58 67 70 72 77 81 88 91 96 98 101 108 122 126 129 132 143 148 151 155 167 168 176 181 182 192 200,OPTIMAL,
pmed10.txt,200,800,67,1255,1255.0,0.0,True,0.0617,0.3026,9.0433,9.3459,9.4076,67,3 4 12 15 17 19 31 35 39 41 42 43 44 47 48 49 50 51 55 58 59 64 65 66 68 69 72 75 80 81 82 85 97 98 104 106 108 112 114 119 123 124 128 129 131 133 135 137 141 144 145 146 148 151 152 156 158 166 168 172 180 183 187 191 193 199 200,OPTIMAL,
pmed11.txt,300,1800,5,7696,7696.0,0.0,True,0.2081,0.7536,110.5773,111.331,111.5391,5,24 31 98 167 201,OPTIMAL,
pmed12.txt,300,1800,10,6634,6634.0,0.0,True,0.1974,0.7895,48.5286,49.3181,49.5154,10,3 6 44 84 139 169 172 174 217 294,OPTIMAL,
pmed13.txt,300,1800,30,4374,4374.0,0.0,True,0.1908,0.7701,6.5915,7.3616,7.5524,30,2 6 13 17 27 30 39 41 49 55 63 76 84 93 108 124 132 143 147 151 161 180 189 207 208 218 232 249 252 271,OPTIMAL,
