instance,instance_id,n,p,best_known_cost,best_cost,gap_percent,memory_size,frequency_memory_size,top_cost_cutoff,cooccurrence_edges,cooccurrence_total_weight,k_core_max_level,k_core_size,k_core_top_frequency_intersection,k_core_top_frequency_fraction,k_core_top_frequency_iou,k_core_nodes_1based,k_core_top_frequency_nodes_1based,k_core_intersection_nodes_1based,densest_subgraph_size,densest_subgraph_density,densest_top_frequency_intersection,densest_top_frequency_fraction,densest_top_frequency_iou,densest_subgraph_nodes_1based,densest_top_frequency_nodes_1based,densest_intersection_nodes_1based,k_core_densest_subgraph_iou,runtime_seconds,status,error_message,facilities_nonzero_frequency
pmed1.txt,pmed1,100,5,5819.0,5819.0,0.0,27,3,5821.0,18,30.0,4,7,7,1.0,1.0,7 13 25 42 65 91 99,7 13 25 42 65 91 99,7 13 25 42 65 91 99,5,4.4,5,1.0,1.0,7 13 65 91 99,7 13 65 91 99,7 13 65 91 99,0.7142857142857143,0.01715777600020374,ok,,7
pmed2.txt,pmed2,100,10,4093.0,4093.0,0.0,32,4,4096.0,64,180.0,10,12,12,1.0,1.0,6 8 12 37 40 41 45 58 67 91 ... (+2),6 8 12 37 40 41 45 58 67 91 ... (+2),6 8 12 37 40 41 45 58 67 91 ... (+2),12,15.0,12,1.0,1.0,6 8 12 37 40 41 45 58 67 91 ... (+2),6 8 12 37 40 41 45 58 67 91 ... (+2),6 8 12 37 40 41 45 58 67 91 ... (+2),1.0,0.02132800299932569,ok,,12
pmed3.txt,pmed3,100,10,4250.0,4250.0,0.0,38,4,4253.0,72,180.0,9,13,13,1.0,1.0,5 9 13 14 21 26 36 48 55 69 ... (+3),5 9 13 14 21 26 36 48 55 69 ... (+3),5 9 13 14 21 26 36 48 55 69 ... (+3),10,15.3,10,1.0,1.0,9 13 21 26 36 48 55 69 74 99,9 13 21 26 36 48 55 69 74 99,9 13 21 26 36 48 55 69 74 99,0.7692307692307693,0.02110367600016616,ok,,13
pmed4.txt,pmed4,100,20,3034.0,3034.0,0.0,62,7,3034.0,250,1330.0,21,23,23,1.0,1.0,6 7 8 9 10 13 22 26 34 38 ... (+13),6 7 8 9 10 13 22 26 34 38 ... (+13),6 7 8 9 10 13 22 26 34 38 ... (+13),20,58.1,20,1.0,1.0,6 8 10 13 22 26 34 38 51 55 ... (+10),6 8 10 13 22 26 34 38 51 55 ... (+10),6 8 10 13 22 26 34 38 51 55 ... (+10),0.8695652173913043,0.04341131000001042,ok,,23
pmed5.txt,pmed5,100,33,1355.0,1355.0,0.0,57,6,1355.0,660,3168.0,34,36,36,1.0,1.0,4 8 9 14 19 25 26 29 30 31 ... (+26),4 8 9 14 19 25 26 29 30 31 ... (+26),4 8 9 14 19 25 26 29 30 31 ... (+26),35,86.88571428571429,35,1.0,1.0,4 8 9 14 19 25 26 29 30 31 ... (+25),4 8 9 14 19 25 26 29 30 31 ... (+25),4 8 9 14 19 25 26 29 30 31 ... (+25),0.9722222222222222,0.04514237500006857,ok,,37
pmed6.txt,pmed6,200,5,7824.0,7824.0,0.0,63,7,7853.0,28,70.0,5,8,8,1.0,1.0,16 86 101 106 110 111 126 191,16 86 101 106 110 111 126 191,16 86 101 106 110 111 126 191,6,8.333333333333334,6,1.0,1.0,16 86 101 106 111 126,16 86 101 106 111 126,16 86 101 106 111 126,0.75,0.07742063899968343,ok,,9
pmed7.txt,pmed7,200,10,5631.0,5631.0,0.0,32,4,5637.0,64,180.0,10,12,12,1.0,1.0,3 10 72 87 116 131 142 169 181 186 ... (+2),3 10 72 87 116 131 142 169 181 186 ... (+2),3 10 72 87 116 131 142 169 181 186 ... (+2),12,15.0,12,1.0,1.0,3 10 72 87 116 131 142 169 181 186 ... (+2),3 10 72 87 116 131 142 169 181 186 ... (+2),3 10 72 87 116 131 142 169 181 186 ... (+2),1.0,0.12975609699969937,ok,,12
pmed8.txt,pmed8,200,20,4445.0,4445.0,0.0,34,4,4445.0,229,760.0,20,22,22,1.0,1.0,42 66 70 76 83 96 104 114 117 119 ... (+12),42 66 70 76 83 96 104 114 117 119 ... (+12),42 66 70 76 83 96 104 114 117 119 ... (+12),22,34.54545454545455,22,1.0,1.0,42 66 70 76 83 96 104 114 117 119 ... (+12),42 66 70 76 83 96 104 114 117 119 ... (+12),42 66 70 76 83 96 104 114 117 119 ... (+12),1.0,0.2317833070001143,ok,,22
pmed9.txt,pmed9,200,40,2734.0,2734.0,0.0,125,13,2740.0,1302,10140.0,41,49,47,0.9591836734693877,0.9215686274509803,1 3 5 12 19 25 29 40 47 49 ... (+39),1 3 5 12 19 25 29 40 48 49 ... (+39),1 3 5 12 19 25 29 40 49 50 ... (+37),40,209.225,40,1.0,1.0,1 3 12 19 25 29 40 50 55 60 ... (+30),1 3 12 19 25 29 40 50 55 60 ... (+30),1 3 12 19 25 29 40 50 55 60 ... (+30),0.8163265306122449,0.373600611999791,ok,,53
pmed10.txt,pmed10,200,67,1255.0,1255.0,0.0,146,15,1255.0,2956,33165.0,69,77,77,1.0,1.0,3 4 12 15 17 19 24 31 35 39 ... (+67),3 4 12 15 17 19 24 31 35 39 ... (+67),3 4 12 15 17 19 24 31 35 39 ... (+67),66,456.40909090909093,66,1.0,1.0,3 12 17 19 31 35 39 41 42 43 ... (+56),3 12 17 19 31 35 39 41 42 43 ... (+56),3 12 17 19 31 35 39 41 42 43 ... (+56),0.8571428571428571,0.6527685609999025,ok,,78
